order_id,customer_id,restaurant_id,order_date,order_amount,status,city,delivery_time_mins
1001,C001,R001,2024-01-15,450,DELIVERED,Mumbai,32
1002,C002,R002,2024-01-15,320,DELIVERED,Delhi,28
1003,C001,R003,2024-01-16,780,DELIVERED,Mumbai,45
1004,C003,R001,2024-01-16,220,CANCELLED,Mumbai,
1005,C004,R004,2024-01-17,560,DELIVERED,Bangalore,38
1006,C005,R005,2024-01-17,890,DELIVERED,Hyderabad,52
1007,C002,R002,2024-01-18,340,DELIVERED,Delhi,25
1008,C006,R006,2024-01-18,670,DELIVERED,Chennai,41
1009,C003,R001,2024-01-19,190,DELIVERED,Mumbai,29
1010,C007,R007,2024-01-19,420,CANCELLED,Bangalore,
1011,C001,R004,2024-01-20,750,DELIVERED,Mumbai,48
1012,C008,R003,2024-01-20,280,DELIVERED,Mumbai,33
1013,C004,R005,2024-01-21,610,DELIVERED,Bangalore,44
1014,C009,R008,2024-01-21,930,DELIVERED,Delhi,58
1015,C005,R006,2024-01-22,350,DELIVERED,Hyderabad,37
1016,C010,R001,2024-01-22,480,DELIVERED,Mumbai,36
1017,C006,R004,2024-01-23,720,CANCELLED,Chennai,
1018,C002,R007,2024-01-23,290,DELIVERED,Delhi,27
1019,C011,R002,2024-01-24,540,DELIVERED,Delhi,31
1020,C007,R005,2024-01-24,660,DELIVERED,Bangalore,43
1021,C003,R008,2024-01-25,810,DELIVERED,Mumbai,55
1022,C012,R003,2024-01-25,370,DELIVERED,Mumbai,34
1023,C008,R006,2024-01-26,490,DELIVERED,Chennai,39
1024,C099,R001,2024-01-26,310,DELIVERED,Mumbai,30
1025,C001,R002,2024-01-27,580,DELIVERED,Mumbai,42
1026,C004,R004,2024-01-27,410,DELIVERED,Bangalore,35
1027,C011,R008,2024-01-28,760,DELIVERED,Delhi,50
1028,C007,R005,2024-01-28,530,CANCELLED,Bangalore,
1029,C010,R003,2024-01-29,390,DELIVERED,Mumbai,36
1030,C002,R002,2024-01-29,470,DELIVERED,Delhi,29
