item_id,order_id,item_name,quantity,unit_price
1,1001,Namkeen,2,57.09
2,1001,Kachori,1,32.81
3,1002,Samosa,1,31.68
4,1002,Dhokla,1,72.48
5,1002,Namkeen,1,56.2
6,1002,Kachori,2,31.68
7,1003,Peppy Paneer,2,404.63
8,1003,Garlic Bread,2,127.52
9,1004,Samosa,1,28.77
10,1004,Pakoda,2,92.28
11,1004,Namkeen,3,65.59
12,1005,Hakka Noodles,3,170.27
13,1005,Chicken Manchurian,1,217.78
14,1006,Chicken Roll,1,193.93
15,1006,Paneer Roll,1,152.4
16,1006,Egg Roll,1,114.47
17,1007,BBQ Wings,1,307.65
18,1007,Onion Rings,1,145.68
19,1008,Dhokla,1,83.6
20,1008,Pakoda,1,92.75
21,1008,Namkeen,1,61.18
22,1009,Mushroom Soup,2,138.74
23,1009,Grilled Sandwich,1,170.89
24,1010,Club Sandwich,1,244.64
25,1010,Grilled Sandwich,2,179.7
26,1010,Caesar Salad,1,217.79
27,1011,Sushi Platter,1,633.82
28,1011,Dragon Roll,1,344.51
29,1012,Grilled Sandwich,1,171.14
30,1012,Mushroom Soup,2,151.78
31,1012,Club Sandwich,1,258.83
32,1013,Naan,3,39.68
33,1013,Roti,3,25.21
34,1014,Mojito,1,163.39
35,1014,Lassi,3,73.03
36,1014,Cold Coffee,2,134.0
37,1014,Fresh Juice,2,104.24
38,1015,Chicken Supreme,2,513.11
39,1015,Peppy Paneer,2,442.61
40,1015,Farmhouse,1,359.16
41,1016,Filter Coffee,1,51.18
42,1017,Pani Puri,1,63.02
43,1017,Sev Puri,2,89.73
44,1018,Sev Puri,3,91.54
45,1018,Pav Bhaji,1,130.58
46,1019,Pasta Alfredo,3,294.59
47,1019,Pepperoni Pizza,3,480.74
48,1020,Peppy Paneer,1,409.32
49,1021,Lassi,1,76.7
50,1022,Chicken Manchurian,2,251.28
51,1022,Veg Fried Rice,3,173.5
52,1022,Spring Rolls,1,169.05
53,1023,Uttapam,1,122.5
54,1023,Filter Coffee,1,48.51
55,1023,Vada,1,60.99
56,1023,Idli Sambar,2,108.34
57,1024,Lasagna,1,413.35
58,1024,Pasta Alfredo,1,318.35
59,1025,Rumali Roti,2,34.2
60,1025,Korma,1,319.9
61,1026,Lassi,2,74.56
62,1026,Masala Chai,2,42.51
63,1026,Cold Coffee,1,127.69
64,1027,Cheesecake,1,209.97
65,1027,Gulab Jamun,1,82.22
66,1028,Rumali Roti,2,31.75
67,1028,Korma,1,295.58
68,1029,Farmhouse,2,365.54
69,1030,Lassi,2,83.96
70,1030,Mojito,2,175.72
71,1030,Masala Chai,2,37.96
72,1031,Chicken Burger,1,164.85
73,1031,Veg Burger,1,109.23
74,1032,Namkeen,1,56.69
75,1032,Dhokla,1,73.84
76,1033,Pasta Alfredo,1,311.48
77,1033,Lasagna,1,416.5
78,1033,Pepperoni Pizza,3,416.47
79,1034,Garlic Bread,3,130.49
80,1034,Lasagna,2,383.11
81,1035,Masala Chai,2,41.51
82,1036,Peppy Paneer,1,424.05
83,1036,Margherita,1,302.07
84,1037,Vada,1,56.1
85,1037,Idli Sambar,1,107.19
86,1038,Chicken Biryani,1,230.68
87,1038,Veg Biryani,1,191.32
88,1039,Mojito,2,168.38
89,1039,Lassi,1,79.72
90,1040,Bhel Puri,1,79.22
91,1040,Vada Pav,2,36.78
92,1041,Dhokla,2,73.73
93,1041,Namkeen,1,54.77
94,1042,Lassi,1,80.13
95,1043,Peppy Paneer,3,450.95
96,1043,Chicken Supreme,1,547.73
97,1043,Farmhouse,1,376.94
98,1044,Vada Pav,2,36.28
99,1044,Pav Bhaji,1,141.75
100,1044,Sev Puri,3,96.82
101,1045,Veg Biryani,2,184.17
102,1045,Mutton Biryani,1,319.13
103,1045,Salan,2,64.35
104,1046,Roti,1,23.99
105,1046,Dal Makhani,1,209.63
106,1047,Rasmalai,1,119.1
107,1047,Ice Cream,1,118.01
108,1048,Kachori,1,36.28
109,1048,Pakoda,3,92.61
110,1049,Chicken Roll,2,185.83
111,1049,Mutton Roll,1,225.73
112,1050,Margherita,1,327.72
113,1050,Chicken Supreme,2,464.71
114,1051,Veg Roll,1,101.41
115,1051,Paneer Roll,1,145.02
116,1052,Pasta,1,327.08
117,1053,Pav Bhaji,1,143.56
118,1053,Vada Pav,1,40.63
119,1053,Pani Puri,1,62.76
120,1054,Pepperoni Pizza,1,428.22
121,1054,Lasagna,1,353.6
122,1054,Margherita Pizza,2,351.36
123,1055,Masala Chai,1,42.76
124,1055,Fresh Juice,3,104.92
125,1056,Chicken Roll,2,177.73
126,1056,Paneer Roll,2,145.91
127,1057,Gulab Jamun,2,88.68
128,1058,Margherita Pizza,1,347.92
129,1059,Pani Puri,2,62.37
130,1060,Korma,1,291.29
131,1060,Rumali Roti,3,35.93
132,1061,Cheeseburger,2,260.55
133,1061,Hot Dog,1,184.14
134,1062,Sev Puri,1,84.35
135,1062,Pani Puri,1,56.89
136,1062,Pav Bhaji,3,140.47
137,1063,Pani Puri,1,64.07
138,1063,Bhel Puri,1,84.25
139,1064,Cheese Burger,1,200.1
140,1064,Fries,1,94.11
141,1064,Coke,2,72.02
142,1065,Ice Cream,2,123.71
143,1065,Gulab Jamun,2,97.41
144,1066,Mojito,2,145.27
145,1066,Fresh Juice,1,92.26
146,1067,Pani Puri,3,64.62
147,1067,Pav Bhaji,1,129.55
148,1068,Pav Bhaji,1,142.59
149,1068,Vada Pav,1,40.36
150,1069,Peppy Paneer,1,428.61
151,1069,Farmhouse,2,411.55
152,1070,Mutton Biryani,1,312.35
153,1070,Salan,2,57.52
154,1071,Dragon Roll,1,370.57
155,1071,Miso Soup,2,116.62
156,1071,Tempura,1,393.24
157,1072,Farmhouse,1,424.37
158,1072,Garlic Bread,2,133.5
159,1072,Chicken Supreme,1,496.2
160,1072,Margherita,1,318.3
161,1073,Schezwan Rice,2,206.34
162,1074,Fresh Juice,1,101.22
163,1074,Lassi,2,74.88
164,1075,Masala Dosa,1,137.95
165,1076,Korma,1,329.23
166,1076,Sheekh Kebab,2,236.32
167,1077,Uttapam,1,122.98
168,1077,Idli Sambar,1,107.99
169,1078,Fries,2,100.41
170,1078,Veg Burger,1,112.4
171,1079,Vada,1,54.15
172,1079,Filter Coffee,2,53.93
173,1079,Masala Dosa,2,133.2
174,1080,Chicken Biryani,1,226.95
175,1080,Veg Biryani,1,196.75
176,1081,Farmhouse,1,368.32
177,1081,Garlic Bread,2,125.98
178,1082,Pasta,1,307.8
179,1082,Mushroom Soup,2,163.72
180,1082,Club Sandwich,1,240.65
181,1082,Grilled Sandwich,2,182.62
182,1083,Ice Cream,1,113.25
183,1083,Rasmalai,3,111.53
184,1084,Pakoda,1,82.15
185,1085,Chicken Manchurian,1,258.18
186,1085,Veg Fried Rice,2,188.71
187,1085,Hakka Noodles,2,170.04
188,1085,Schezwan Rice,1,209.44
189,1086,Cheese Burger,2,220.21
190,1087,Filter Coffee,3,54.07
191,1087,Uttapam,2,118.11
192,1088,Garlic Bread,1,140.5
193,1089,Egg Roll,1,118.21
194,1089,Mutton Roll,3,205.23
195,1090,Mutton Biryani,1,320.03
196,1091,Hakka Noodles,2,174.25
197,1091,Spring Rolls,2,171.04
198,1091,Chicken Manchurian,2,232.81
199,1092,Chicken Burger,2,171.69
200,1092,Veg Burger,1,130.74
201,1092,Coke,3,74.43
202,1093,Miso Soup,3,124.86
203,1093,Sushi Platter,1,650.07
204,1093,Ramen,2,370.3
205,1094,Farmhouse,1,400.42
206,1094,Garlic Bread,1,141.99
207,1094,Peppy Paneer,3,452.5
208,1095,Vada Pav,1,40.13
209,1095,Bhel Puri,2,87.76
210,1095,Pani Puri,2,56.26
211,1096,Uttapam,3,128.46
212,1096,Vada,1,54.71
213,1096,Filter Coffee,2,51.41
214,1097,BBQ Wings,2,315.05
215,1097,Cheeseburger,2,256.93
216,1098,Spring Rolls,1,156.63
217,1098,Hakka Noodles,3,186.97
218,1099,Samosa,2,32.69
219,1099,Namkeen,2,61.62
220,1100,Paneer Roll,2,133.48
221,1100,Chicken Roll,3,182.79
222,1101,Garlic Bread,1,143.12
223,1102,Pav Bhaji,1,152.72
224,1102,Sev Puri,1,84.45
225,1102,Vada Pav,1,38.04
226,1103,Chicken Roll,1,180.72
227,1103,Egg Roll,2,131.57
228,1103,Paneer Roll,1,135.1
229,1103,Veg Roll,1,102.96
230,1104,Sheekh Kebab,1,260.98
231,1104,Mutton Biryani,1,372.54
232,1104,Rumali Roti,1,35.86
233,1105,Fries,2,98.49
234,1105,Veg Burger,1,108.72
235,1105,Chicken Burger,1,180.59
236,1106,Chicken Manchurian,2,242.22
237,1106,Spring Rolls,2,150.17
238,1107,Sushi Platter,1,643.32
239,1107,Dragon Roll,3,361.54
240,1108,Ramen,3,377.08
241,1108,Dragon Roll,2,351.03
242,1109,Sushi Platter,1,620.81
243,1109,Tempura,2,402.48
244,1110,Margherita Pizza,1,319.92
245,1111,Mushroom Soup,2,135.03
246,1112,Veg Fried Rice,1,188.8
247,1112,Spring Rolls,1,145.26
248,1113,Idli Sambar,1,93.57
249,1114,Jeera Rice,1,151.47
250,1115,Pav Bhaji,2,152.32
251,1115,Vada Pav,1,40.65
252,1116,Namkeen,2,61.32
253,1117,Pepperoni Pizza,2,478.64
254,1117,Pasta Alfredo,1,296.88
255,1117,Margherita Pizza,2,359.63
256,1118,Paneer Roll,1,149.68
257,1118,Chicken Roll,1,165.77
258,1119,Butter Chicken,2,331.57
259,1119,Jeera Rice,1,160.62
260,1120,Samosa,1,32.1
261,1120,Pakoda,3,87.05
262,1121,Mushroom Soup,1,146.22
263,1121,Caesar Salad,1,236.92
264,1121,Pasta,2,276.51
265,1122,Paneer Tikka,1,282.75
266,1122,Butter Chicken,3,291.45
267,1123,Kachori,1,33.29
268,1123,Pakoda,1,92.48
269,1123,Samosa,1,27.34
270,1124,Namkeen,1,65.74
271,1124,Samosa,1,32.4
272,1125,Mutton Biryani,2,327.64
273,1125,Sheekh Kebab,1,240.22
274,1125,Rumali Roti,1,34.31
275,1125,Chicken Kebab,1,253.36
276,1126,Vada Pav,1,41.35
277,1127,Paneer Roll,1,153.44
278,1127,Mutton Roll,1,210.06
279,1127,Egg Roll,1,128.65
280,1128,Hakka Noodles,2,186.85
281,1128,Chicken Manchurian,1,255.89
282,1129,Mojito,3,169.26
283,1129,Masala Chai,1,43.51
284,1129,Fresh Juice,1,92.84
285,1130,Samosa,1,27.26
286,1130,Kachori,2,34.22
287,1130,Namkeen,1,56.49
288,1131,Peppy Paneer,1,432.79
289,1131,Margherita,2,275.01
290,1132,Roti,2,24.83
291,1132,Dal Makhani,2,204.9
292,1132,Naan,1,36.19
293,1132,Butter Chicken,3,350.87
294,1133,Filter Coffee,1,46.56
295,1133,Vada,1,61.05
296,1133,Uttapam,1,130.3
297,1134,Schezwan Rice,2,190.98
298,1135,Masala Dosa,1,135.62
299,1135,Uttapam,1,117.41
300,1136,Lasagna,1,393.25
301,1136,Pepperoni Pizza,1,410.82
302,1137,Mutton Biryani,2,360.2
303,1137,Sheekh Kebab,1,264.82
304,1138,Mutton Roll,1,203.92
305,1138,Chicken Roll,1,164.09
306,1139,Ice Cream,1,125.61
307,1140,Pasta Alfredo,1,346.48
308,1141,Dragon Roll,1,396.92
309,1142,Veg Fried Rice,1,184.35
310,1142,Hakka Noodles,2,164.35
311,1142,Chicken Manchurian,1,249.5
312,1143,Masala Chai,1,36.16
313,1143,Mojito,1,162.45
314,1144,Cheeseburger,1,234.76
315,1145,Sushi Platter,2,690.8
316,1145,Tempura,1,422.01
317,1146,Sev Puri,2,93.21
318,1146,Bhel Puri,2,84.91
319,1146,Pav Bhaji,3,139.28
320,1147,Pav Bhaji,1,129.12
321,1147,Pani Puri,2,55.13
322,1148,Pasta,2,294.71
323,1148,Mushroom Soup,2,157.35
324,1148,Club Sandwich,1,232.12
325,1148,Grilled Sandwich,2,171.34
326,1149,Masala Dosa,1,134.65
327,1149,Uttapam,2,124.03
328,1149,Filter Coffee,2,53.16
329,1150,Cold Coffee,1,127.65
330,1150,Mojito,1,151.94
331,1151,Caesar Salad,2,206.53
332,1151,Pasta,1,328.32
333,1151,Grilled Sandwich,1,171.43
334,1152,Mojito,1,172.95
335,1152,Cold Coffee,1,133.52
336,1153,Veg Fried Rice,1,164.27
337,1153,Chicken Manchurian,2,233.96
338,1154,Gulab Jamun,3,98.48
339,1154,Brownie,1,161.94
340,1154,Ice Cream,2,128.17
341,1155,Cheeseburger,2,240.2
342,1155,Fries,1,127.51
343,1155,BBQ Wings,1,335.2
344,1156,Garlic Bread,1,136.84
345,1156,Margherita,1,324.45
346,1156,Chicken Supreme,2,547.21
347,1156,Peppy Paneer,1,460.48
348,1157,Samosa,1,29.53
349,1157,Dhokla,1,76.61
350,1157,Kachori,2,33.06
351,1158,Samosa,1,31.72
352,1158,Kachori,1,31.62
353,1159,Brownie,2,155.45
354,1160,Mutton Biryani,2,298.15
355,1160,Raita,1,41.24
356,1160,Salan,2,54.38
357,1161,BBQ Wings,1,349.24
358,1161,Onion Rings,2,130.56
359,1162,Veg Roll,2,117.67
360,1162,Egg Roll,1,127.95
361,1163,Coke,1,75.84
362,1163,Veg Burger,2,114.81
363,1164,Dragon Roll,2,413.45
364,1165,Korma,2,325.73
365,1165,Rumali Roti,1,37.24
366,1165,Sheekh Kebab,1,268.27
367,1166,Pav Bhaji,1,144.48
368,1166,Pani Puri,1,62.85
369,1167,Jeera Rice,1,135.65
370,1168,Pav Bhaji,3,126.43
371,1168,Sev Puri,1,83.9
372,1169,Kachori,1,34.3
373,1169,Namkeen,3,64.37
374,1170,Pani Puri,1,61.71
375,1170,Pav Bhaji,1,132.55
376,1170,Sev Puri,1,91.23
377,1171,Club Sandwich,1,250.03
378,1171,Pasta,2,316.96
379,1172,Sev Puri,1,91.39
380,1172,Bhel Puri,1,74.62
381,1172,Vada Pav,1,42.18
382,1173,Margherita Pizza,2,369.56
383,1174,Chicken Manchurian,2,261.02
384,1174,Spring Rolls,1,158.9
385,1174,Schezwan Rice,1,193.78
386,1174,Veg Fried Rice,1,178.95
387,1175,Namkeen,1,61.4
388,1176,Lassi,1,86.51
389,1176,Fresh Juice,1,103.39
390,1177,Uttapam,2,123.38
391,1177,Filter Coffee,2,52.08
392,1178,Butter Chicken,1,319.13
393,1178,Dal Makhani,1,221.16
394,1179,Gulab Jamun,1,81.01
395,1179,Ice Cream,2,130.34
396,1180,Vada Pav,2,39.69
397,1181,Cheeseburger,1,257.42
398,1181,Onion Rings,1,136.73
399,1182,Namkeen,3,60.29
400,1182,Samosa,1,28.18
401,1182,Pakoda,1,97.19
402,1182,Dhokla,2,72.84
403,1183,Fries,2,104.77
404,1184,Onion Rings,3,130.31
405,1185,Chicken Kebab,2,262.87
406,1185,Korma,2,310.07
407,1186,Tempura,2,409.08
408,1186,Dragon Roll,1,368.77
409,1187,Dal Makhani,1,232.82
410,1187,Paneer Tikka,1,247.55
411,1188,Ice Cream,3,113.01
412,1188,Rasmalai,1,112.94
413,1189,Lassi,1,80.6
414,1190,Chicken Supreme,3,510.61
415,1190,Margherita,3,283.66
416,1191,Naan,1,39.39
417,1191,Dal Makhani,1,235.28
418,1191,Jeera Rice,3,156.75
419,1192,Chicken Roll,2,162.04
420,1192,Mutton Roll,1,217.97
421,1193,Cheeseburger,1,258.96
422,1193,Onion Rings,3,152.17
423,1194,Salan,1,59.49
424,1194,Veg Biryani,1,162.26
425,1195,Garlic Bread,1,134.1
426,1195,Chicken Supreme,1,518.62
427,1195,Margherita,2,322.91
428,1195,Peppy Paneer,1,444.6
429,1196,Pani Puri,1,57.85
430,1196,Pav Bhaji,1,129.36
431,1196,Vada Pav,1,36.66
432,1197,Pakoda,3,97.42
433,1197,Namkeen,1,60.26
434,1198,Pepperoni Pizza,1,487.12
435,1198,Lasagna,2,400.65
436,1198,Garlic Bread,1,143.11
437,1199,Namkeen,2,64.06
438,1199,Kachori,2,35.86
439,1199,Samosa,1,32.34
440,1200,Vada Pav,2,38.69
441,1200,Sev Puri,1,95.21
442,1200,Pav Bhaji,2,130.03
443,1201,Dhokla,1,76.41
444,1201,Kachori,1,38.08
445,1202,Garlic Bread,1,129.36
446,1202,Margherita,1,318.54
447,1203,Chicken Manchurian,2,249.7
448,1203,Hakka Noodles,1,182.93
449,1203,Spring Rolls,1,144.45
450,1204,Masala Dosa,1,135.87
451,1204,Vada,2,63.64
452,1205,Peppy Paneer,2,388.39
453,1205,Margherita,3,285.59
454,1205,Chicken Supreme,2,449.89
455,1206,Vada,3,61.8
456,1206,Idli Sambar,1,98.24
457,1206,Upma,1,72.25
458,1207,Veg Burger,1,131.7
459,1207,Cheese Burger,2,207.76
460,1208,Pav Bhaji,2,133.55
461,1208,Bhel Puri,1,78.65
462,1209,Ramen,1,342.48
463,1209,Sushi Platter,3,670.11
464,1209,Dragon Roll,1,342.26
465,1209,Tempura,2,390.93
466,1210,Naan,1,37.17
467,1210,Jeera Rice,1,163.57
468,1210,Dal Makhani,3,208.26
469,1211,Salan,2,58.38
470,1211,Raita,2,40.55
471,1212,Gulab Jamun,1,93.92
472,1212,Ice Cream,3,120.64
473,1213,Hakka Noodles,3,176.98
474,1213,Spring Rolls,2,172.96
475,1214,Lassi,2,86.14
476,1214,Fresh Juice,1,93.07
477,1214,Mojito,3,168.45
478,1215,Lasagna,1,392.63
479,1215,Garlic Bread,2,131.79
480,1216,BBQ Wings,1,339.6
481,1216,Cheeseburger,2,231.24
482,1217,Dragon Roll,2,388.68
483,1218,Coke,1,86.17
484,1218,Cheese Burger,2,198.34
485,1219,Bhel Puri,1,86.32
486,1219,Pav Bhaji,1,147.77
487,1220,Mutton Roll,2,221.14
488,1220,Chicken Roll,1,179.02
489,1221,Veg Biryani,2,171.42
490,1221,Salan,1,56.86
491,1221,Raita,2,42.19
492,1222,Salan,2,61.88
