order_id,customer_id,restaurant_id,order_date,total_amount,status,delivery_time
1001,204,140,2024-06-20,1246.83,Delivered,69
1002,414,213,2024-01-04,443.44,Cancelled,
1003,700,174,2024-02-13,472.42,Delivered,38
1004,1290,271,2024-12-18,1154.91,Delivered,65
1005,468,136,2024-07-30,1385.23,Cancelled,
1006,1950,233,2024-07-04,1421.24,Cancelled,
1007,299,298,2024-12-21,824.29,Delivered,20
1008,693,181,2024-03-25,707.7,Delivered,63
1009,76,270,2024-03-18,1363.52,Delivered,55
1010,1461,270,2024-05-31,687.03,Pending,
1011,1790,178,2024-06-09,1372.92,Delivered,67
1012,573,236,2024-03-16,1080.41,Cancelled,
1013,1319,153,2024-11-15,1203.68,Cancelled,
1014,1429,189,2024-11-28,666.31,Delivered,34
1015,173,110,2024-07-18,1115.14,Delivered,48
1016,1108,173,2024-12-02,872.5,Pending,
1017,698,294,2024-01-12,139.05,Pending,
1018,1214,167,2024-12-19,525.52,Delivered,47
1019,227,288,2024-11-23,463.66,Pending,
1020,726,132,2024-12-11,1417.88,Cancelled,
1021,611,247,2024-08-20,574.57,Delivered,66
1022,1528,249,2024-11-17,1031.73,Delivered,37
1023,613,173,2024-10-20,1041.41,Delivered,48
1024,1511,164,2024-12-03,915.32,Delivered,44
1025,201,138,2024-07-29,214.73,Delivered,42
1026,1820,134,2024-08-16,209.3,Pending,
1027,825,251,2024-07-21,1320.82,Cancelled,
1028,1304,209,2024-12-18,1403.45,Cancelled,
1029,1499,207,2024-03-14,808.1,Cancelled,
1030,1457,218,2024-12-15,818.46,Pending,
1031,242,278,2024-11-30,145.65,Delivered,50
1032,757,131,2024-07-28,254.47,Delivered,51
1033,594,111,2024-03-01,620.05,Delivered,34
1034,603,225,2024-11-09,299.0,Delivered,18
1035,1919,179,2024-04-20,356.31,Cancelled,
1036,5,132,2024-02-04,1318.6,Delivered,45
1037,1174,180,2024-06-21,1193.89,Cancelled,
1038,1709,285,2024-03-08,1166.73,Pending,
1039,1304,218,2024-12-07,728.7,Delivered,20
1040,1639,260,2024-07-28,642.13,Delivered,36
1041,1108,112,2024-08-14,1130.28,Delivered,70
1042,340,282,2024-12-10,1214.62,Delivered,50
1043,1322,132,2024-02-13,369.4,Pending,
1044,1182,294,2024-12-06,830.46,Cancelled,
1045,1030,105,2024-12-29,844.6,Delivered,32
1046,1612,153,2024-12-15,1274.48,Cancelled,
1047,174,237,2024-07-24,924.45,Cancelled,
1048,1766,106,2024-11-11,680.91,Pending,
1049,650,198,2024-11-07,1471.7,Pending,
1050,345,174,2024-11-16,1175.63,Delivered,34
1051,1951,205,2024-01-31,960.27,Delivered,26
1052,56,283,2024-11-24,238.24,Delivered,41
1053,1829,183,2024-12-30,1258.84,Delivered,18
1054,415,162,2024-10-27,431.09,Pending,
1055,1541,230,2024-02-28,477.0,Delivered,44
1056,1133,205,2024-11-01,670.49,Delivered,16
1057,552,242,2024-12-11,242.11,Pending,
1058,1335,133,2024-11-26,724.38,Pending,
1059,417,137,2024-03-27,1194.83,Pending,
1060,1951,209,2024-10-11,732.44,Delivered,67
1061,952,259,2024-11-10,100.76,Cancelled,
1062,560,254,2024-12-13,632.21,Delivered,68
1063,1295,155,2024-09-18,493.84,Delivered,62
1064,1094,245,2024-11-05,653.43,Delivered,68
1065,287,286,2024-05-23,1329.59,Delivered,54
1066,1034,182,2024-06-24,989.24,Cancelled,
1067,560,163,2024-06-13,578.28,Cancelled,
1068,1965,254,2024-12-28,1068.58,Delivered,53
1069,976,102,2024-12-10,342.95,Pending,
1070,1834,279,2024-07-20,853.38,Delivered,49
1071,64,272,2024-03-04,594.19,Delivered,67
1072,1232,192,2024-12-22,1477.31,Delivered,44
1073,759,150,2024-04-23,1140.4,Delivered,58
1074,1888,282,2024-02-16,1242.79,Delivered,66
1075,1471,157,2024-12-01,1454.22,Delivered,32
1076,1010,281,2024-04-17,109.99,Delivered,22
1077,1782,172,2024-09-09,338.67,Delivered,57
1078,1514,245,2024-11-04,891.2,Delivered,52
1079,263,291,2024-11-16,1406.99,Delivered,48
1080,1493,171,2024-12-13,132.36,Pending,
1081,1259,165,2024-08-20,102.74,Delivered,56
1082,1379,267,2024-12-30,552.2,Delivered,32
1083,250,275,2024-09-10,606.06,Delivered,61
1084,460,113,2024-11-26,845.37,Delivered,15
1085,803,150,2024-12-26,900.55,Delivered,62
1086,463,277,2024-02-08,1383.79,Delivered,25
1087,675,180,2024-12-10,235.42,Cancelled,
1088,885,107,2024-11-16,1409.09,Delivered,30
1089,221,222,2024-11-21,1265.52,Delivered,48
1090,1627,161,2024-11-03,967.39,Delivered,55
1091,915,249,2024-11-03,1383.4,Delivered,35
1092,1823,278,2024-11-08,186.8,Cancelled,
1093,113,178,2024-08-09,192.11,Delivered,50
1094,107,176,2024-07-24,234.16,Delivered,29
1095,1771,254,2024-11-15,114.85,Delivered,44
1096,1629,210,2024-11-13,241.79,Delivered,44
1097,1060,185,2024-02-25,243.77,Delivered,52
1098,1617,150,2024-03-05,992.31,Delivered,37
1099,863,224,2024-08-15,360.29,Delivered,66
1100,91,116,2024-12-07,710.19,Delivered,34
1101,1196,239,2024-03-16,757.33,Delivered,33
1102,756,103,2024-12-02,1049.62,Delivered,30
1103,1039,244,2024-08-04,581.34,Delivered,55
1104,1861,152,2024-06-23,365.1,Cancelled,
1105,1423,278,2024-11-03,1069.38,Delivered,54
