restaurant_id,name,city,cuisine,rating
101,Sushi Station - Mumbai,Mumbai,Japanese,4.0
102,Rolls Mania - Pune,Pune,Pizza,3.7
103,Naturals Ice Cream - Chennai,Chennai,Street Food,4.6
104,Saravana Bhavan - Hyderabad,Hyderabad,Street Food,4.6
105,Starbucks - Kolkata,Kolkata,Biryani,4.2
106,Rolls Mania - Ahmedabad,Ahmedabad,Snacks,4.2
107,Noodle Nook - Chennai,Chennai,Italian,3.7
108,Punjabi Tadka - Delhi,Delhi,Continental,3.5
109,A2B - Bangalore,Bangalore,Chinese,4.2
110,Pizza Palace - Ahmedabad,Ahmedabad,Pizza,4.3
111,Pizza Hut - Bangalore,Bangalore,Italian,4.6
112,Tea Villa - Chennai,Chennai,Snacks,4.6
113,Behrouz Biryani - Mumbai,Mumbai,Snacks,4.2
114,Box8 - Delhi,Delhi,North Indian,4.8
115,Dosa Express - Ahmedabad,Ahmedabad,Italian,4.0
116,Pizza Hut - Pune,Pune,Rolls,4.1
117,Dosa Express - Bangalore,Bangalore,Desserts,4.7
118,Paradise Biryani - Delhi,Delhi,Continental,3.9
119,McDonald's - Delhi,Delhi,Italian,4.3
120,Punjabi Tadka - Hyderabad,Hyderabad,Snacks,4.2
121,Paradise Biryani - Delhi,Delhi,Pizza,3.9
122,Biryani By Kilo - Ahmedabad,Ahmedabad,Biryani,4.6
123,Haldiram's - Mumbai,Mumbai,North Indian,4.3
124,Rolls & Wraps - Pune,Pune,Biryani,4.6
125,Biryani By Kilo - Bangalore,Bangalore,Beverages,4.0
126,Naturals Ice Cream - Mumbai,Mumbai,Biryani,4.1
127,Burger Barn - Hyderabad,Hyderabad,Mughlai,3.8
128,Barbeque Nation - Hyderabad,Hyderabad,Chinese,4.7
129,Idli House - Mumbai,Mumbai,North Indian,4.3
130,Dosa Express - Delhi,Delhi,Burgers,4.3
131,Chai Point - Mumbai,Mumbai,Snacks,4.3
132,Pizza Hut - Mumbai,Mumbai,Pizza,4.0
133,Pav Bhaji King - Pune,Pune,Italian,4.5
134,Oven Story - Mumbai,Mumbai,Beverages,3.7
135,Barbeque Nation - Mumbai,Mumbai,Burgers,3.8
136,Cafe Coffee Day - Pune,Pune,Chinese,4.7
137,Chilis - Bangalore,Bangalore,Street Food,3.6
138,Ammi's Biryani - Delhi,Delhi,Mughlai,4.4
139,Chole Bhature Hub - Chennai,Chennai,Italian,4.3
140,The Good Bowl - Bangalore,Bangalore,Snacks,4.1
141,KFC - Pune,Pune,Desserts,4.2
142,Barbeque Nation - Delhi,Delhi,Beverages,3.8
143,Subway - Mumbai,Mumbai,Rolls,4.4
144,Nandos - Bangalore,Bangalore,North Indian,4.4
145,Wow Momo - Pune,Pune,Snacks,3.8
146,A2B - Kolkata,Kolkata,Street Food,4.8
147,Chilis - Pune,Pune,Burgers,4.8
148,Empire - Hyderabad,Hyderabad,Japanese,4.0
149,Noodle Nook - Mumbai,Mumbai,Desserts,4.7
150,Chai Point - Mumbai,Mumbai,Chinese,4.4
151,Chai Point - Mumbai,Mumbai,Desserts,4.4
152,Box8 - Chennai,Chennai,Mughlai,4.1
